# anchorsX, anchorsY
5.017902092920524410e+03,1.208971348742073496e+04
5.025556888547255767e+03,1.254223071663531118e+04
5.031368580628015479e+03,1.277383953357258542e+04
5.039085939158797373e+03,1.279609097926310824e+04
5.046082918778492058e+03,1.265724122498249017e+04
5.056470112723906823e+03,1.260930570069105306e+04
5.063947265334481926e+03,1.286357065474702358e+04
5.071934518194238990e+03,1.286897824345117260e+04
5.075386875526098265e+03,1.285333729446587495e+04
5.078934756968745205e+03,1.291805937048430678e+04
5.086937165460528377e+03,1.283359414659494723e+04
5.094459370607325582e+03,1.305948105334193497e+04
5.113586480562948964e+03,1.306751899642488934e+04
5.118987711544764352e+03,1.314032060185946102e+04
5.133187751401443165e+03,1.308703120110662712e+04
5.137033051859639272e+03,1.309924127727119412e+04
5.144663655473868857e+03,1.329957566537997263e+04
5.145444501688517448e+03,1.329301835028214919e+04
5.150166425325902310e+03,1.330398037575299895e+04
5.158659603501835591e+03,1.345966608867761352e+04
5.161843850675899375e+03,1.327431534065721280e+04
5.200546721337780582e+03,1.390806611216752754e+04
5.213155578955054807e+03,1.399950824760538126e+04
5.213694653720855058e+03,1.399717080923013600e+04
5.219985077792110133e+03,1.405281003267805499e+04
5.223111358008326533e+03,1.414367658176352961e+04
5.239330066186923432e+03,1.403801161138197494e+04
5.249335831742183473e+03,1.412311584828927153e+04
5.258422253516473575e+03,1.419371668208009760e+04
5.260474786923229658e+03,1.419457441912115792e+04
5.262378920626196305e+03,1.416543779191246722e+04
5.277988909337663245e+03,1.437645644686771084e+04
5.288050864832270236e+03,1.429162782117446113e+04
5.294960818798984292e+03,1.437537912267467618e+04
5.305656798504009203e+03,1.485899692512748334e+04
5.310933170986413643e+03,1.495887906384025700e+04
5.313404953511429085e+03,1.507126377404982122e+04
5.319203534217425840e+03,1.516011364803700053e+04
5.335880805292033074e+03,1.513243677932718310e+04
5.346195782913127914e+03,1.509326706084247780e+04
5.348585854377346550e+03,1.517304540338491279e+04
5.353878131914108053e+03,1.541304250389321714e+04
5.362036515439622235e+03,1.562717426096926283e+04
5.363297570699444805e+03,1.561107356712678484e+04
5.376740393074885105e+03,1.554455968271139682e+04
5.380211790734301758e+03,1.568443344416830405e+04
5.387260141701663088e+03,1.557011079943952427e+04
